gene	n.umis	n.tot	efficiency	depth	loss	n.obs	n.reads	n.umis.prefilter	n.reads.prefilter
UMAG_11403:5p	26184	104511	0	0.335	0.749	26184	34961	26184	34961
UMAG_11415:3p	29678	139697	0	0.27	0.788	29678	37688	29678	37688
UMAG_11415:5p	15019	121925	0	0.14	0.877	15019	17102	15019	17102
UMAG_11416:3p	716	3906	0	0.223	0.817	716	872	716	872
UMAG_11416:5p	553	3756	0	0.166	0.853	553	631	553	631
UMAG_11417:3p	1387	7542	0	0.224	0.816	1387	1695	1387	1695
UMAG_11417:5p	750	5196	0	0.163	0.856	750	858	750	858
UMAG_11444:3p	720	4230	0	0.202	0.83	720	858	720	858
UMAG_11444:5p	902	4607	0	0.244	0.804	902	1122	902	1122
UMAG_11464:3p	1297	6412	0	0.254	0.798	1297	1629	1297	1629
UMAG_11464:5p	795	3861	0	0.261	0.794	795	1006	795	1006
UMAG_11586:3p	816	5233	0	0.181	0.844	816	952	816	952
UMAG_11586:5p	986	6308	0	0.182	0.844	986	1154	986	1154
UMAG_11639:3p	1778	8543	0	0.264	0.792	1778	2251	1778	2251
UMAG_11639:5p	1259	7465	0	0.201	0.831	1259	1504	1259	1504
UMAG_11931:3p	2	10.3	0	0.242	0.805	2	2	2	2
UMAG_11931:5p	2	10.3	0	0.242	0.805	2	2	2	2
UMAG_11940:3p	328	2218	0	0.165	0.852	328	368	328	368
UMAG_11940:5p	412	2434	0	0.199	0.831	412	486	412	486
UMAG_12045:3p	299	1360	0	0.291	0.78	299	395	299	395
UMAG_12045:5p	253	1456	0	0.205	0.826	253	298	253	298
UMAG_12127:3p	1122	6466	0	0.208	0.826	1122	1349	1122	1349
UMAG_12127:5p	1936	9957	0	0.241	0.806	1936	2403	1936	2403
UMAG_12197:3p	3647	20130	0	0.221	0.819	3647	4448	3647	4448
UMAG_12197:5p	4672	24545	0	0.235	0.81	4672	5768	4672	5768
