"knockout"	"is.neutral"	"n.out"	"loss.out"	"abundance.out"	"n.in"	"loss.in"	"abundance.in"	"log2fc"	"low.pval"	"high.pval"	"low.qval"	"high.qval"
"UMAG_05308"	FALSE	3144	0.8455	10174.7572815534	2543	0.9335	19120.3007518797	-0.0541437053373679	0.4111904137697	0.589697521504877	0.521577102030022	1
"UMAG_05310"	FALSE	810	0.825	2314.28571428571	1040	0.9385	8455.28455284553	-1.01331919025224	5.41289307511217e-06	0.999994758158445	3.41012263732067e-05	1
"UMAG_05319"	FALSE	3194	0.8245	9099.7150997151	2807	0.9245	18589.40397351	-0.174620100583458	0.206901680317735	0.793723230707737	0.296245587727666	1
"UMAG_05439"	FALSE	27041	0.81	71160.5263157895	36505	0.914	212238.372093023	-0.720569297306727	0.00038150069218638	0.999618821681424	0.00180259077058064	1
"UMAG_05548"	FALSE	2547	0.7995	6351.62094763092	3017	0.906	16047.8723404255	-0.481218180152473	0.0121077994089596	0.987972630048622	0.0317829734485188	1
"UMAG_05562"	FALSE	11740	0.8025	29721.5189873418	16979	0.917	102283.132530121	-0.927021363788961	1.10899490948363e-05	0.999988935399295	6.55000118413767e-05	1
"UMAG_05641"	FALSE	33040	0.827	95491.3294797688	29972	0.9285	209594.405594406	-0.27819142918822	0.0906757684322193	0.909358538414789	0.169680398353361	1
"UMAG_05731"	FALSE	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
"UMAG_05733"	FALSE	2154	0.83	6335.29411764706	1516	0.939	12426.2295081967	-0.115937970704383	0.300472367519218	0.700657836487244	0.399924489162903	1
"UMAG_05780"	FALSE	3575	0.8145	9636.11859838275	3867	0.909	21247.2527472528	-0.284785127454483	0.0884619449370949	0.911844685243507	0.167193075931109	1
"UMAG_05781"	FALSE	13086	0.819	36149.1712707182	13116	0.933	97880.5970149254	-0.581093196159271	0.00306577721923667	0.996938840446593	0.0107302202673283	1
"UMAG_05819"	FALSE	1852	0.8295	5431.08504398827	2469	0.917	14873.4939759036	-0.597464104062476	0.0028868012173461	0.997143269019387	0.0102944420769512	1
"UMAG_05861"	FALSE	7	0.805	17.948717948718	3	0.924	19.7368421052632	0.71895675252774	0.851465844335644	0.208589259640037	0.919583111882495	1
